[[353  15]] , [[354  14]]
[[  68 1258]] , [[  68 1279]]
[[  80 1216]] , [[  80 1217]]
[[ 702 1370]] , [[ 702 1375]]
[[  66 1238]] , [[  66 1248]]
[[ 664 1297]] , [[ 663 1298]]
[[ 660 1297]] , [[ 659 1298]]
[[ 712 1473]] , [[ 712 1477]]
[[ 690 1378]] , [[ 690 1383]]
[[ 708 1471]] , [[ 708 1475]]
[[  72 1258]] , [[  72 1261]]
[[ 734 1468]] , [[ 733 1469]]
[[ 748 1429]] , [[ 748 1435]]
[[ 732 1469]] , [[ 731 1470]]
[[  96 1264]] , [[  96 1273]]
[[ 752 1468]] , [[ 752 1473]]
[[ 674 1368]] , [[ 674 1372]]
[[ 752 1468]] , [[ 752 1473]]
[[ 694 1301]] , [[ 693 1302]]
[[ 712 1473]] , [[ 712 1477]]
[[  77 1276]] , [[  78 1275]]
[[ 574 1550]] , [[ 574 1555]]
[[ 397 1426]] , [[ 396 1427]]
[[ 674 1338]] , [[ 674 1343]]
[[ 478 1330]] , [[ 478 1334]]
[[ 690 1430]] , [[ 690 1434]]
[[ 448 1337]] , [[ 447 1338]]
[[ 416 1344]] , [[ 416 1348]]
[[  56 1070]] , [[  56 1075]]
[[ 701 1323]] , [[ 701 1327]]
[[ 412 1342]] , [[ 412 1346]]
[[ 704 1471]] , [[ 704 1475]]
[[ 396 1427]] , [[ 396 1431]]
[[ 466 1482]] , [[ 466 1483]]
[[ 674 1368]] , [[ 674 1372]]
[[ 654 1408]] , [[ 654 1415]]
[[ 640 1334]] , [[ 640 1338]]
[[ 670 1332]] , [[ 670 1340]]
[[792 730]] , [[792 731]]
[[800 730]] , [[800 731]]
[[910 654]] , [[910 659]]
[[824 727]] , [[823 728]]
[[334 544]] , [[334 545]]
[[398 990]] , [[ 398 1005]]
[[366 958]] , [[366 959]]
[[331 570]] , [[332 569]]
[[386 980]] , [[386 989]]
[[325 572]] , [[326 571]]
[[ 471 1058]] , [[ 472 1057]]
[[366 944]] , [[366 955]]
[[ 674 1369]] , [[ 674 1373]]
[[ 656 1299]] , [[ 656 1303]]
[[ 798 1348]] , [[ 798 1349]]
